classification,system:index,Landcover_Class,B2,B3,B4,B5,B6,B7,B1
17,831_0,17,764,1028,1302,2058,3162,2474,617
12,833_0,16,367,644,529,2885,2145,1250,312
3,844_0,19,401,520,528,1448,1154,688,347
11,847_0,11,167,338,397,1213,1532,1008,97
12,855_0,9,480,712,786,2233,2884,1911,361
9,867_0,9,168,222,179,1447,622,327,131
9,868_0,11,152,272,292,1129,937,534,90
0,873_0,0,237,312,262,84,45,21,210
12,884_0,12,563,834,950,2128,2767,2185,487
12,891_0,11,324,484,558,1319,1894,1299,232
17,893_0,3,573,823,1011,1458,2012,1724,501
12,900_0,12,744,1113,1250,2755,3309,2443,615
3,902_0,4,394,495,403,1467,907,634,307
17,905_0,12,393,600,554,1882,1728,1084,319
8,912_0,8,12,49,31,389,138,63,-10
5,915_0,11,1310,1737,1807,2091,1565,990,1180
17,919_0,17,424,627,825,1291,1796,1478,309
8,921_0,8,29,98,66,1169,366,159,-11
9,924_0,9,142,378,295,3088,1527,703,66
17,932_0,19,441,583,603,1711,2002,1248,383
0,935_0,0,391,375,142,46,24,14,375
8,940_0,8,69,185,117,1656,528,206,38
11,941_0,11,380,543,489,2091,2187,1237,346
12,945_0,12,399,709,477,3198,2526,1395,383
17,952_0,2,353,527,557,1688,1686,1146,294
17,954_0,16,344,623,328,4460,1727,772,317
9,959_0,9,146,241,183,1458,699,318,139
9,960_0,9,172,239,206,761,669,378,144
9,962_0,8,197,338,342,1633,1345,748,116
4,968_0,3,438,665,685,1903,1379,976,316
12,970_0,12,412,727,807,2386,2666,1573,267
0,971_0,0,458,485,197,55,22,11,409
17,978_0,19,402,452,523,975,1582,1247,366
8,980_0,8,155,113,58,308,95,33,159
17,981_0,17,435,614,715,1396,2228,1890,353
12,984_0,12,508,726,641,2211,2599,1767,469
8,991_0,9,116,265,232,2406,822,362,59
0,992_0,0,590,756,598,108,20,14,474
11,1005_0,12,220,576,489,3044,1915,1028,190
8,1006_0,8,84,78,49,243,146,70,72
17,1007_0,12,436,600,542,1815,2039,1475,396
0,1018_0,0,467,510,249,46,20,9,391
11,1020_0,12,353,663,681,2262,2941,1880,239
17,1028_0,2,480,639,710,2240,1769,1245,393
0,1030_0,0,286,292,120,68,51,37,251
9,1033_0,8,162,282,198,2114,1058,445,125
0,1034_0,0,337,239,92,40,18,7,345
4,1035_0,4,553,835,848,1629,1369,1062,421
8,1046_0,8,134,179,108,1005,444,172,136
11,1049_0,8,133,244,234,838,900,537,85
17,1050_0,2,585,749,837,1629,2287,1715,505
0,1054_0,0,465,402,135,43,19,12,388
8,1056_0,8,120,255,182,2336,735,303,67
17,1058_0,12,704,1058,1212,2506,2907,2254,601
3,1064_0,3,518,706,749,1752,1543,1143,437
17,1066_0,17,260,461,393,2119,1571,903,229
12,1068_0,12,337,670,638,3909,2132,1158,243
17,1070_0,3,360,509,516,1830,1468,1016,329
17,1086_0,17,366,639,634,2047,1608,1153,282
12,1100_0,12,397,625,605,2078,2260,1531,347
0,1103_0,0,405,290,112,42,21,13,401
11,1105_0,11,141,318,356,1464,1364,803,62
17,1107_0,17,404,677,577,2317,1774,1100,329
8,1114_0,9,118,159,105,808,400,193,95
8,1115_0,8,247,356,267,3083,1263,604,219
12,1118_0,12,341,763,387,4216,2183,1111,324
2,1119_0,2,280,452,421,2321,1245,728,205
17,1121_0,17,275,457,401,2189,1512,832,253
12,1130_0,12,337,720,573,3166,2353,1355,264
0,1131_0,0,196,143,74,45,30,21,228
12,1134_0,11,417,655,649,2329,2427,1498,371
17,1135_0,17,377,585,431,3214,1849,1081,360
4,1143_0,4,692,782,861,1564,1547,1247,633
4,1147_0,2,657,1086,1336,2099,1573,1377,464
0,1151_0,0,432,467,209,52,22,14,349
4,1156_0,4,703,873,965,1610,1370,1086,614
11,1163_0,12,294,491,477,1229,1811,1258,205
4,1167_0,17,830,1101,1217,1601,2158,1810,720
4,1169_0,4,484,686,765,1603,1100,895,429
0,1171_0,3,458,547,482,724,624,451,354
8,1182_0,8,92,193,129,2090,626,259,53
11,1186_0,9,206,360,386,1256,1371,928,144
2,1192_0,19,300,496,389,1665,1004,591,268
4,1198_0,4,557,820,869,1773,1490,1144,450
17,1199_0,17,420,565,566,2184,1976,1425,384
19,1201_0,11,375,513,493,1236,1059,659,339
5,1202_0,5,1253,1391,1426,1423,1677,1601,1147
17,1204_0,11,550,937,1205,1736,2658,2269,416
3,1209_0,3,305,477,469,1761,1023,674,240
11,1210_0,11,257,447,558,1468,1854,1149,147
3,1213_0,5,335,701,681,2372,1633,1307,120
0,1216_0,0,491,512,226,46,20,14,435
12,1223_0,12,439,706,610,2512,2395,1366,374
0,1225_0,0,557,582,285,63,27,13,488
8,1227_0,9,84,110,68,680,279,118,56
17,1228_0,12,461,732,930,1673,2354,1947,350
17,1232_0,17,446,659,861,1779,2271,1779,357
17,1234_0,3,377,633,702,2649,1632,998,301
17,1237_0,12,325,592,464,2203,1692,1072,271
12,1241_0,12,436,680,557,2167,2635,1683,400
11,1251_0,11,447,661,517,2726,2330,1319,410
11,1258_0,11,267,493,501,2134,1902,1123,195
0,1260_0,0,207,153,74,46,35,21,213
4,1265_0,4,635,904,1118,1708,1579,1467,426
17,1267_0,17,446,549,568,1485,1773,1252,393
17,1269_0,17,711,940,1199,1877,3130,2440,566
5,1274_0,6,2885,3502,3796,4751,5210,3214,2438
17,1276_0,12,328,447,520,1114,1275,1200,264
0,1278_0,0,587,752,637,119,19,10,479
12,1281_0,12,569,916,919,2677,2803,1763,461
17,1285_0,17,419,547,574,1556,1898,1494,375
12,1287_0,17,624,1045,1271,2649,3330,2845,464
11,1291_0,12,247,495,403,2153,1873,1075,175
9,1292_0,8,53,99,81,611,332,168,13
17,1299_0,17,430,593,757,1207,1695,1445,312
0,1304_0,0,504,531,237,53,25,14,452
0,1308_0,0,207,167,77,41,25,18,219
8,1310_0,8,100,110,52,561,165,75,95
12,1316_0,12,253,599,408,3313,2084,1043,186
17,1319_0,17,445,662,783,1695,2366,2059,349
12,1323_0,12,679,1091,1294,2900,3831,2542,501
0,1325_0,0,658,840,830,268,21,16,545
12,1334_0,12,505,804,881,2115,3346,2425,411
11,1340_0,12,393,614,767,1429,2188,1685,262
0,1342_0,0,315,305,149,69,33,17,321
17,1345_0,12,463,748,785,1700,2204,1680,364
9,1346_0,9,238,370,248,1649,1057,556,214
11,1350_0,2,213,558,532,2675,2045,1155,77
11,1352_0,8,153,277,279,1361,1129,622,90
9,1353_0,8,154,292,246,2195,1046,495,104
4,1359_0,4,674,695,782,1060,1094,816,492
0,1368_0,0,168,164,127,115,96,71,173
12,1372_0,12,464,635,558,1679,2241,1600,421
11,1383_0,9,288,441,490,1778,1931,1310,237
19,1384_0,4,394,562,585,1441,1349,1020,310
17,1386_0,17,209,597,386,3083,1368,621,131
17,1388_0,2,350,570,461,2542,1706,977,320
2,1392_0,17,521,713,665,1790,1728,1187,478
8,1393_0,11,156,151,81,378,129,66,169
12,1395_0,12,493,787,815,2502,2848,1712,428
12,1402_0,12,592,997,992,2809,2693,1648,467
9,1419_0,8,64,124,113,842,590,277,23
12,1427_0,12,597,896,982,2313,2878,1812,466
8,1429_0,11,130,246,179,1840,699,373,99
12,1433_0,12,907,1460,1849,3516,4514,3107,670
4,1437_0,4,443,743,868,1637,1226,1008,357
11,1440_0,11,294,528,606,1865,1973,1276,191
0,1443_0,0,575,730,550,103,30,18,494
17,1447_0,17,457,684,744,2321,2431,1515,404
8,1449_0,8,112,205,132,2026,615,250,64
17,1450_0,2,392,786,669,3614,1859,1179,305
19,1452_0,4,427,587,577,969,721,613,364
19,1456_0,2,432,540,703,1614,2042,1311,371
17,1458_0,11,276,458,451,1355,1414,884,252
11,1459_0,8,195,320,361,1167,1546,1031,111
0,1460_0,0,567,682,448,76,20,12,486
12,1465_0,2,221,346,347,1055,799,558,157
17,1466_0,12,495,794,868,2026,2060,1437,372
11,1470_0,12,419,699,807,2091,2949,1972,292
8,1472_0,8,74,119,64,753,323,150,63
12,1490_0,12,422,631,544,2248,2073,1175,368
17,1499_0,17,623,869,1044,1625,2211,1684,484
17,1503_0,17,515,658,700,1473,1777,1398,472
9,1514_0,8,56,80,69,340,266,138,33
9,1524_0,2,184,332,308,2062,1024,517,135
9,1525_0,9,217,396,365,2369,1589,795,149
0,1527_0,0,333,318,94,31,15,12,305
17,1531_0,12,464,627,648,1644,2011,1329,408
9,1550_0,9,134,335,231,2648,1242,546,74
4,1563_0,4,276,383,394,1286,817,601,163
17,1572_0,17,592,816,1059,1655,2642,2522,504
17,1578_0,17,632,799,922,1398,2164,1755,548
12,1587_0,12,354,532,547,1467,2033,1520,280
12,1588_0,2,418,685,574,2421,1928,1130,334
8,1591_0,9,67,171,131,1842,796,320,16
9,1599_0,9,100,261,227,2183,1171,539,54
17,1621_0,12,349,644,643,2635,2845,1855,258
17,1633_0,9,300,442,482,1015,1093,694,250
12,1639_0,17,306,503,504,1959,2112,1358,262
17,1643_0,17,238,306,346,556,1170,990,217
0,1658_0,0,437,595,407,74,27,13,344
17,1663_0,11,301,589,583,2375,1698,1044,240
12,1665_0,12,329,752,402,3632,1896,984,295
4,1669_0,5,573,776,773,1239,1124,961,447
12,1680_0,12,290,578,394,2490,1949,1123,234
2,1690_0,17,271,378,338,1504,929,569,227
17,1693_0,19,314,452,456,1468,1521,990,274
17,1694_0,17,370,576,535,1992,1606,1053,327
17,1710_0,12,255,411,509,1116,1912,1547,201
8,1713_0,8,97,253,189,2229,956,404,59
17,1714_0,17,329,431,504,716,1131,984,266
2,1717_0,2,186,317,285,1688,881,455,123
11,1720_0,12,302,347,397,1205,1159,768,302
9,1722_0,9,145,260,171,1770,782,347,114
0,1730_0,0,478,598,392,68,17,14,385
12,1732_0,11,359,659,388,2938,1896,986,339
0,1734_0,0,570,723,550,97,24,11,476
11,1750_0,12,279,442,487,1302,1910,1384,199
17,1754_0,17,692,901,995,1942,2214,1941,614
11,1764_0,11,148,343,393,1535,1640,1042,76
17,1765_0,17,249,588,407,3187,1676,853,224
11,1771_0,11,161,382,488,2088,2184,1331,59
8,1772_0,8,123,238,158,2530,701,282,93
17,1777_0,17,367,513,503,1593,1583,1030,314
11,1785_0,12,364,538,418,2020,1815,967,327
0,1792_0,0,231,172,84,38,17,12,246
12,1808_0,12,475,866,838,3042,3200,2033,377
12,1811_0,12,486,845,690,3087,2592,1457,423
17,1814_0,9,211,410,340,2393,1327,654,158
0,1815_0,0,310,282,121,35,18,14,315
0,1816_0,0,434,376,129,51,29,16,368
9,1818_0,11,72,243,238,1747,981,527,1
17,1820_0,17,627,809,965,1684,2997,2388,521
0,1825_0,0,532,630,397,59,16,11,452
8,1827_0,9,115,207,146,1591,595,290,97
17,1828_0,17,377,618,587,2464,1549,949,320
11,1843_0,11,139,298,307,1322,1057,623,71
17,1844_0,17,544,803,818,2490,2206,1479,472
17,1848_0,17,303,328,357,578,1284,1146,283
2,1850_0,9,182,274,237,1850,973,477,133
4,1860_0,4,718,880,917,1889,1516,1143,627
12,1861_0,12,380,706,546,2484,1974,1111,324
4,1866_0,5,1321,1478,1538,1838,1914,1688,1152
9,1868_0,9,133,216,161,1077,737,366,89
19,1869_0,19,438,503,606,1367,1644,1250,390
12,1872_0,11,448,608,647,1850,2527,1589,373
17,1873_0,17,399,528,552,1460,1951,1470,342
0,1884_0,0,237,216,89,42,29,15,228
5,1885_0,5,1253,1452,1525,1673,1799,1607,1061
12,1890_0,2,294,748,459,4673,1988,1064,265
8,1891_0,9,182,372,289,2965,1479,661,133
11,1896_0,11,173,377,444,1562,1727,1017,81
17,1897_0,17,368,507,476,1521,1438,959,341
8,1908_0,0,86,189,137,1059,406,203,54
17,1910_0,17,506,780,754,2545,2211,1605,430
8,1916_0,8,38,120,76,1477,572,253,-19
0,1927_0,0,445,552,311,54,14,9,364
17,1929_0,17,260,502,407,2235,1614,837,244
3,1933_0,17,580,858,870,2047,1860,1345,464
8,1935_0,8,54,94,60,904,215,88,44
9,1940_0,9,166,286,254,964,824,507,129
17,1952_0,17,473,536,581,936,1456,1370,448
0,1953_0,0,538,738,688,164,20,16,434
8,1963_0,8,98,112,70,760,234,98,71
17,1972_0,17,341,529,706,1089,1306,1030,247
3,1974_0,2,304,514,478,1881,1220,758,240
5,1977_0,5,3484,3589,3665,4180,2871,1809,3152
11,1983_0,12,409,625,493,2481,2217,1273,345
12,1989_0,11,492,953,1045,3085,3162,1819,307
11,1995_0,9,284,482,472,1998,1861,1117,176
9,1996_0,8,120,179,136,1062,471,241,72
17,1997_0,17,492,800,797,2419,2191,1578,403
4,1999_0,4,474,775,761,2170,1498,998,343
0,2004_0,0,438,508,256,25,31,17,349
0,2006_0,0,288,213,97,56,34,25,282
17,2008_0,17,437,671,558,2730,1975,1150,403
4,2009_0,4,468,675,740,1245,1153,993,359
9,2021_0,2,238,423,320,3253,1453,708,191
3,2024_0,4,184,650,682,2317,1577,1148,-6
8,2025_0,8,115,190,128,1996,605,228,77
11,2032_0,9,278,532,519,2028,2503,1485,186
8,2042_0,8,79,126,62,613,257,148,33
12,2053_0,12,494,674,691,1740,2553,1914,425
0,2054_0,0,455,476,216,64,32,21,411
0,2062_0,0,356,249,102,43,21,13,365
8,2068_0,2,119,212,141,1913,536,227,97
17,2070_0,17,298,531,282,4097,1709,735,300
12,2071_0,17,592,971,1017,2851,2573,1757,469
0,2075_0,0,449,612,433,90,27,18,358
17,2078_0,4,724,1024,1230,1959,2561,2372,608
17,2089_0,4,429,599,664,1577,1531,1080,349
5,2092_0,5,1120,1348,1454,1588,1782,1579,978
9,2099_0,11,291,488,470,2535,1838,948,230
12,2106_0,12,378,695,709,2277,3143,1944,270
4,2111_0,4,365,653,707,1889,1385,1010,215
17,2114_0,17,496,639,687,1981,1852,1348,454
4,2128_0,5,548,690,691,1295,1383,1189,511
17,2130_0,17,274,485,400,2336,1583,816,261
0,2135_0,0,457,634,430,85,26,12,358
12,2136_0,11,399,707,554,2787,2040,1160,335
11,2137_0,8,185,302,242,1118,875,492,130
0,2150_0,19,1812,2092,1608,842,395,238,1534
0,2154_0,0,457,593,393,67,18,14,362
12,2160_0,12,361,782,502,3616,2297,1268,297
17,2169_0,17,451,584,715,1057,1374,1138,397
11,2170_0,11,338,713,803,2189,2087,1318,218
12,2171_0,12,467,881,972,2649,2813,1865,336
4,2176_0,12,608,666,710,971,1414,1271,567
8,2182_0,9,55,99,61,367,170,89,41
17,2183_0,17,355,607,627,1930,1992,1408,312
3,2193_0,3,299,422,415,1768,799,533,245
17,2200_0,16,302,638,294,3028,1459,695,279
0,2204_0,0,285,197,102,56,44,29,341
0,2205_0,0,553,523,216,62,28,15,484
12,2207_0,12,414,825,679,3702,2909,1598,330
9,2215_0,9,91,219,214,1060,774,449,9
17,2220_0,17,426,706,640,2325,1916,1355,363
9,2223_0,9,138,296,248,1255,1173,657,113
12,2224_0,12,365,709,630,2824,3017,1775,270
17,2229_0,17,401,545,510,1750,1855,1289,378
11,2231_0,12,332,565,471,1948,1928,1143,272
4,2233_0,17,621,920,899,1895,1946,1598,558
0,2236_0,0,515,690,652,257,85,48,422
11,2239_0,11,391,656,597,1894,2362,1626,318
0,2242_0,0,270,396,255,97,30,21,226
3,2243_0,2,445,578,531,2333,1344,833,407
9,2244_0,11,109,184,174,618,627,367,61
17,2248_0,17,434,553,701,1115,1609,1384,362
17,2251_0,17,243,405,312,2513,1284,640,225
0,2255_0,0,274,176,92,46,27,22,312
17,2259_0,17,272,345,402,650,1473,1323,249
17,2268_0,17,356,517,514,2074,1758,1116,336
11,2269_0,11,282,574,621,2922,2322,1319,166
17,2272_0,17,379,615,659,2096,1630,1157,287
12,2278_0,12,455,684,604,2433,2771,1635,375
4,2279_0,4,339,606,657,1632,1038,820,229
9,2282_0,9,169,356,239,2708,1238,514,132
9,2283_0,8,58,184,150,1637,730,359,18
0,2289_0,0,433,569,520,407,526,495,399
12,2295_0,12,328,677,534,2667,2396,1362,252
12,2297_0,2,489,787,764,2978,2400,1485,403
17,2302_0,17,474,772,1062,1592,2577,2195,379
9,2309_0,9,212,361,259,2767,1184,512,175
9,2316_0,11,79,252,204,2128,1054,500,33
12,2328_0,12,473,736,683,2403,3124,1960,427
17,2331_0,2,555,914,940,1942,2242,1637,426
4,2333_0,5,826,1076,1187,1516,1355,1134,672
8,2340_0,8,111,321,238,3162,907,368,49
12,2341_0,19,581,804,813,2188,2714,1796,518
17,2342_0,17,498,769,964,1378,2083,1755,404
0,2345_0,0,284,263,111,59,37,26,279
3,2355_0,3,385,477,486,1518,1025,702,348
12,2360_0,12,431,845,792,2952,2861,1762,300
12,2364_0,12,522,937,827,3272,3569,2215,434
11,2378_0,9,231,385,430,1279,1411,933,158
0,2383_0,0,434,429,176,49,18,14,399
19,2388_0,19,379,453,538,1293,1550,1158,345
12,2393_0,9,406,555,593,1465,2145,1575,325
4,2396_0,3,468,693,696,1795,1265,911,403
0,2416_0,0,231,184,79,42,22,11,232
12,2429_0,11,362,643,448,2307,1752,969,332
12,2431_0,12,387,666,595,2753,1887,1077,344
4,2432_0,4,417,635,669,1698,1138,887,290
8,2433_0,7,238,418,293,2757,1600,741,202
4,2446_0,3,564,863,906,1685,1527,1225,438
12,2448_0,12,442,767,676,2715,2842,1744,338
9,2452_0,9,206,446,430,2964,1930,981,117
12,2462_0,3,531,920,797,3854,2777,1605,455
5,2467_0,5,856,1001,1082,1422,1466,1247,768
11,2470_0,11,102,238,256,1094,1134,714,38
0,2477_0,0,240,199,92,55,34,24,236
17,2487_0,17,363,497,596,988,1240,980,287
17,2489_0,17,325,558,401,2200,1580,889,282
3,2499_0,11,686,1032,1210,1870,2106,1817,536
11,2501_0,11,230,371,339,906,1127,811,197
9,2505_0,17,311,498,446,2692,1751,981,239
17,2506_0,17,266,434,404,2050,1342,848,247
4,2508_0,5,659,853,925,1501,1468,1210,581
8,2513_0,8,92,260,178,2511,864,353,37
11,2518_0,12,374,684,730,2181,2884,1758,264
17,2521_0,3,471,572,699,1172,1622,1438,397
19,2522_0,19,401,481,506,1305,1092,726,367
12,2525_0,12,534,835,722,2993,3028,1877,463
12,2528_0,11,367,661,727,1953,2126,1330,263
9,2529_0,11,121,208,138,1195,680,320,87
0,2542_0,0,442,544,336,55,16,12,348
12,2543_0,12,387,663,684,1702,2467,1695,311
17,2558_0,12,312,613,314,4398,1729,776,309
17,2568_0,17,334,558,363,4554,1784,771,323
0,2570_0,0,490,595,328,54,17,10,402
0,2577_0,0,471,350,131,49,19,13,415
17,2580_0,17,422,656,699,2540,2159,1285,390
17,2587_0,2,342,557,538,2499,1761,1100,307
17,2588_0,16,377,544,597,1513,1858,1310,321
17,2590_0,17,466,556,636,968,1471,1267,434
12,2591_0,17,433,769,612,2547,2128,1343,376
0,2593_0,19,467,649,722,830,308,145,379
12,2594_0,12,390,776,574,3317,2560,1423,301
12,2599_0,11,277,589,410,3038,1731,888,210
12,2600_0,17,441,699,676,2590,2222,1357,384
12,2603_0,12,490,797,674,2937,2618,1587,423
0,2609_0,0,280,177,101,49,31,18,312
11,2610_0,11,294,478,435,1575,1906,1192,254
17,2612_0,17,301,490,453,2099,1328,836,247
0,2618_0,0,528,559,240,47,20,13,444
9,2624_0,9,79,154,107,1091,445,227,57
0,2629_0,0,223,178,71,34,18,16,207
4,2634_0,4,801,999,1050,1757,1655,1366,666
17,2645_0,17,513,771,976,1456,2313,1973,438
12,2646_0,12,438,749,833,2531,3226,1993,334
8,2649_0,8,127,193,112,1393,502,185,120
12,2651_0,12,486,847,849,2675,3214,1905,365
12,2669_0,11,532,795,775,2635,3269,2053,463
12,2678_0,12,440,839,692,2995,2894,1727,351
12,2683_0,2,295,507,445,1897,1687,1017,248
0,2686_0,0,257,192,96,53,31,19,268
4,2687_0,3,975,1214,1280,1917,2498,1957,893
3,2700_0,12,319,489,519,1128,1295,809,236
0,2710_0,0,453,578,465,113,20,17,365
